periodo,IED,TRM,IPC,IPI,ISE
2015-07-01,342.7321,2732.036,85.37,159.9,99.44946
2015-08-01,300.3335,3012.587,85.78,153.0,102.0141
2015-09-01,342.9793,3066.408,86.39,164.5,102.5563
2015-10-01,306.8684,2929.472,86.98,160.2,105.2481
2015-11-01,298.0698,3001.376,87.51,161.1,106.6109
2015-12-01,404.4776,3244.202,88.05,157.4,108.8351
2016-01-01,232.0453,3270.195,89.19,141.8,94.94036
2016-02-01,402.4252,3354.957,90.33,155.2,96.53326
2016-03-01,270.5305,3128.789,91.18,152.9,97.58087
2016-04-01,306.9723,2997.727,91.63,177.0,97.40962
2016-05-01,492.4984,2993.508,92.1,155.5,101.6855
2016-06-01,244.1793,2992.859,92.54,155.1,100.4687
2016-07-01,272.9802,2961.0,93.02,150.1,97.67113
2016-08-01,325.4931,2952.767,92.73,168.8,105.3426
2016-09-01,244.1048,2924.265,92.68,172.1,104.9803
2016-10-01,239.25,2929.389,92.62,161.1,106.998
2016-11-01,288.5786,3110.259,92.73,164.5,110.3068
2016-12-01,348.7656,3009.864,93.11,162.1,112.3498
2017-01-01,270.9744,2941.399,94.07,142.7,96.43507
2017-02-01,209.2111,2879.567,95.01,151.2,96.08733
2017-03-01,232.7497,2942.286,95.46,160.7,99.85257
2017-04-01,319.9783,2877.822,95.91,164.2,97.06409
2017-05-01,293.1456,2923.613,96.12,155.1,103.0902
2017-06-01,425.4002,2957.098,96.23,153.1,103.3845
2017-07-01,294.5855,3036.584,96.18,160.4,101.2377
2017-08-01,282.0219,2973.205,96.32,164.1,106.5131
2017-09-01,737.6274,2917.085,96.36,168.3,105.5508
2017-10-01,319.6175,2953.756,96.37,160.7,108.3384
2017-11-01,266.6027,3013.467,96.55,164.3,111.4325
2017-12-01,468.0554,2991.762,96.92,160.2,114.2671
2018-01-01,242.7437,2868.572,97.53,142.9,98.02329
2018-02-01,236.9441,2860.253,98.22,153.3,97.47289
2018-03-01,254.3323,2847.931,98.45,158.8,101.4089
2018-04-01,365.5329,2766.285,98.91,181.9,101.0521
2018-05-01,327.6422,2861.826,99.16,159.8,105.4089
2018-06-01,218.1706,2889.689,99.31,155.4,105.1606
2018-07-01,305.9899,2885.322,99.18,165.9,104.1834
2018-08-01,365.6667,2958.667,99.3,171.0,109.8022
2018-09-01,277.409,3033.768,99.47,173.2,108.2483
2018-10-01,276.4163,3084.831,99.59,169.4,112.272
2018-11-01,272.139,3194.034,99.7,172.0,115.2377
2018-12-01,318.3694,3218.551,100.0,158.9,116.2468
2019-01-01,304.5191,3165.188,100.6,147.0,101.5806
2019-02-01,266.4625,3115.839,101.18,157.8,100.92
2019-03-01,319.4888,3128.684,101.62,163.5,104.8514
2019-04-01,434.8558,3155.765,102.12,179.3,103.3679
2019-05-01,317.2122,3304.495,102.44,165.4,109.7235
2019-06-01,299.4558,3260.517,102.71,154.0,107.6919
2019-07-01,337.0732,3206.6,102.94,172.2,108.7522
2019-08-01,238.1661,3410.729,103.03,171.6,112.6687
2019-09-01,255.5382,3399.457,103.26,174.0,110.5085
2019-10-01,299.9103,3433.312,103.43,173.2,115.7085
2019-11-01,614.8232,3401.473,103.54,168.5,117.8912
2019-12-01,328.4668,3378.051,103.8,164.3,119.957
2020-01-01,502.6588,3311.189,104.24,151.9,106.1043
2020-02-01,270.8372,3411.053,104.94,164.7,105.7333
2020-03-01,330.9821,3877.048,105.53,148.8,97.4527
2020-04-01,205.1586,3977.393,105.7,115.2,82.69062
2020-05-01,172.2862,3858.192,105.36,121.7,90.65253
2020-06-01,152.125,3701.604,104.97,138.4,94.51575
2020-07-01,175.9895,3657.867,104.97,157.5,97.65825
2020-08-01,147.5504,3783.026,104.96,153.8,101.3099
2020-09-01,138.0497,3750.215,105.29,168.9,103.5111
2020-10-01,157.0488,3833.788,105.23,168.4,110.4948
2020-11-01,143.7815,3685.627,105.08,167.8,113.5799
2020-12-01,243.3613,3466.127,105.48,166.6,116.2595
2021-01-01,226.4018,3491.322,105.91,149.8,101.8259
2021-02-01,178.7222,3554.504,106.58,165.8,102.6332
2021-03-01,223.8285,3612.768,107.12,179.9,107.5134
2021-04-01,217.1065,3650.776,107.76,188.9,103.6147
2021-05-01,193.906,3735.666,108.84,131.8,102.6881
2021-06-01,206.6135,3685.043,108.78,167.1,109.2709
2021-07-01,250.2272,3829.418,109.14,189.2,111.3375
2021-08-01,195.7639,3881.184,109.62,189.7,113.7787
2021-09-01,242.4357,3821.538,110.04,195.4,117.9208
2021-10-01,228.2747,3773.384,110.06,186.0,121.524
2021-11-01,244.3545,3902.901,110.6,191.4,125.6321
2021-12-01,234.0603,3963.134,111.41,188.8,128.9966
2022-01-01,341.4022,3999.616,113.26,171.9,110.3357
2022-02-01,211.3856,3935.836,115.11,183.6,111.7719
2022-03-01,241.8435,3807.171,116.26,201.9,115.9223
2022-04-01,601.7834,3792.982,117.71,214.6,116.3043
2022-05-01,307.4904,4019.079,118.7,192.7,120.3748
2022-06-01,340.2875,3930.767,119.31,187.9,118.5921
2022-07-01,,,,,
2022-08-01,,,,,
2022-09-01,,,,,
2022-10-01,,,,,
2022-11-01,,,,,
2022-12-01,,,,,
2023-01-01,,,,,
2023-02-01,,,,,
2023-03-01,,,,,
2023-04-01,,,,,
2023-05-01,,,,,
2023-06-01,,,,,
2023-07-01,,,,,
2023-08-01,,,,,
2023-09-01,,,,,
2023-10-01,,,,,
2023-11-01,,,,,
