periodo,IED,TRM,IPC,IPI,ISE
2005-01-01,82.81953,2364.518,56.45,106.2,60.39825
2005-02-01,112.2031,2339.623,57.02,116.5,60.25902
2005-03-01,89.16918,2356.807,57.46,120.0,61.09554
2005-04-01,356.5374,2351.016,57.72,125.7,62.66674
2005-05-01,90.517,2339.345,57.95,120.6,63.06341
2005-06-01,195.4882,2331.444,58.18,119.9,62.98689
2005-07-01,15.97363,2322.787,58.21,121.7,62.59142
2005-08-01,165.9846,2306.767,58.21,128.2,65.53785
2005-09-01,69.55513,2295.475,58.46,130.5,66.55576
2005-10-01,295.6978,2292.72,58.6,126.4,68.58234
2005-11-01,179.2648,2279.736,58.66,130.9,70.12734
2005-12-01,156.5819,2278.539,58.7,124.2,72.59076
2006-01-01,127.3613,2273.711,59.02,112.0,63.23128
2006-02-01,191.3426,2255.771,59.41,122.8,63.09936
2006-03-01,129.7379,2261.919,59.83,134.0,65.41104
2006-04-01,243.8959,2335.138,60.09,122.0,63.87438
2006-05-01,73.62435,2418.649,60.29,133.5,67.29532
2006-06-01,149.5841,2542.22,60.48,131.0,66.1854
2006-07-01,116.7247,2513.698,60.73,137.4,67.10906
2006-08-01,239.6129,2388.984,60.96,143.4,70.07157
2006-09-01,119.2125,2398.709,61.14,149.1,71.94525
2006-10-01,222.8953,2361.796,61.05,146.9,73.95681
2006-11-01,125.8511,2290.438,61.19,150.8,76.11045
2006-12-01,219.6477,2260.705,61.33,138.3,76.28576
2007-01-01,253.7745,2236.202,61.8,126.8,67.16057
2007-02-01,159.8032,2227.57,62.53,139.3,67.24897
2007-03-01,484.6208,2202.845,63.29,151.1,69.66195
2007-04-01,156.955,2144.901,63.85,137.1,67.72112
2007-05-01,400.3504,2009.415,64.05,147.7,71.64891
2007-06-01,304.6898,1923.534,64.12,145.1,71.14429
2007-07-01,283.6085,1951.844,64.23,150.1,71.31797
2007-08-01,207.7642,2056.087,64.14,153.8,74.34158
2007-09-01,265.8978,2113.37,64.2,157.0,76.08444
2007-10-01,255.4428,2001.086,64.2,158.6,78.57081
2007-11-01,214.3164,2046.357,64.51,162.1,80.58695
2007-12-01,277.8404,2013.835,64.82,150.2,81.10314
2008-01-01,547.8134,1983.184,65.51,135.0,71.4478
2008-02-01,275.6878,1905.294,66.5,150.2,71.54577
2008-03-01,238.543,1843.493,67.04,139.2,70.71932
2008-04-01,378.5433,1795.103,67.51,151.3,72.73154
2008-05-01,314.9545,1775.156,68.14,142.0,74.1625
2008-06-01,369.8268,1732.286,68.73,137.0,73.24729
2008-07-01,350.7248,1781.045,69.06,150.9,74.62766
2008-08-01,269.4303,1847.477,69.19,139.6,76.45268
2008-09-01,289.519,2066.187,69.06,151.5,78.01745
2008-10-01,311.265,2288.858,69.3,146.6,79.95747
2008-11-01,261.0069,2333.66,69.49,140.3,79.5012
2008-12-01,361.8699,2251.51,69.8,137.6,81.29465
2009-01-01,341.2331,2253.506,70.21,123.5,70.57532
2009-02-01,220.6716,2512.344,70.8,132.9,70.80896
2009-03-01,269.0124,2469.635,71.15,137.9,72.99745
2009-04-01,432.9389,2374.608,71.38,129.7,72.28813
2009-05-01,251.9391,2227.318,71.39,134.4,75.77007
2009-06-01,397.2711,2089.46,71.35,129.1,74.10418
2009-07-01,272.1732,2049.24,71.32,142.0,76.05181
2009-08-01,336.1743,2017.618,71.35,135.0,76.64424
2009-09-01,293.598,1978.033,71.28,144.6,78.67626
2009-10-01,173.941,1901.4,71.19,142.4,81.36906
2009-11-01,278.4958,1976.879,71.14,142.4,82.60204
2009-12-01,-35.32465,2018.013,71.2,139.7,84.61376
2010-01-01,290.2862,1983.427,71.69,122.4,73.22983
2010-02-01,355.1514,1951.724,72.28,136.0,72.92153
2010-03-01,351.4944,1908.992,72.46,146.0,76.30024
2010-04-01,413.6735,1937.449,72.79,138.2,75.42967
2010-05-01,284.0786,1983.593,72.87,141.5,79.11704
2010-06-01,391.6,1926.846,72.95,138.5,77.71549
2010-07-01,361.3302,1874.411,72.92,143.1,77.68856
2010-08-01,516.5947,1821.201,73.0,142.2,80.23109
2010-09-01,340.045,1805.772,72.9,150.6,82.10823
2010-10-01,351.4931,1808.607,72.84,147.5,85.28373
2010-11-01,327.3088,1862.994,72.98,150.0,86.8674
2010-12-01,366.2722,1922.331,73.45,146.5,89.32689
2011-01-01,619.2774,1867.077,74.12,132.3,78.52415
2011-02-01,371.8668,1882.371,74.57,141.1,77.14318
2011-03-01,464.7338,1881.815,74.77,156.3,81.34222
2011-04-01,608.185,1809.834,74.86,141.3,79.82302
2011-05-01,528.2852,1800.509,75.07,149.7,84.22242
2011-06-01,715.2806,1783.159,75.31,142.0,82.88902
2011-07-01,521.4178,1761.594,75.42,149.9,83.1166
2011-08-01,529.8428,1785.56,75.39,155.2,87.38123
2011-09-01,569.0856,1833.32,75.62,157.5,87.56697
2011-10-01,538.7491,1907.609,75.77,153.2,90.52861
2011-11-01,560.2513,1919.475,75.87,158.8,92.93167
2011-12-01,654.0401,1933.351,76.19,148.9,94.02244
2012-01-01,703.4775,1853.282,76.75,133.7,82.73904
2012-02-01,492.9152,1782.755,77.22,146.7,82.17151
2012-03-01,638.6754,1766.332,77.31,154.8,85.79983
2012-04-01,724.8409,1774.249,77.42,137.3,83.40552
2012-05-01,741.0948,1793.277,77.66,150.3,88.65188
2012-06-01,772.0489,1792.547,77.72,146.3,87.20238
2012-07-01,510.645,1783.82,77.7,153.3,86.30989
2012-08-01,538.3734,1805.523,77.73,151.7,87.99547
2012-09-01,449.9313,1802.746,77.96,155.1,90.01148
2012-10-01,511.8852,1804.401,78.08,154.7,92.59746
2012-11-01,530.7223,1821.014,77.98,151.9,95.52407
2012-12-01,620.7248,1792.495,78.05,144.4,96.38088
2013-01-01,567.437,1769.673,78.28,133.1,86.51121
2013-02-01,548.7481,1790.548,78.63,139.6,84.31729
2013-03-01,537.9812,1813.749,78.79,136.8,86.74692
2013-04-01,714.3908,1830.231,78.99,150.0,89.26751
2013-05-01,737.6237,1847.921,79.21,147.3,93.2427
2013-06-01,671.4613,1909.849,79.39,138.9,91.01976
2013-07-01,666.3761,1901.543,79.43,154.9,92.10696
2013-08-01,529.3048,1902.104,79.5,147.4,93.83001
2013-09-01,486.6939,1919.512,79.73,156.6,95.20052
2013-10-01,557.5011,1885.131,79.52,156.0,98.34657
2013-11-01,509.5251,1921.753,79.35,152.1,101.3274
2013-12-01,707.1578,1932.956,79.56,147.4,103.1321
2014-01-01,624.4939,1957.287,79.95,134.4,90.49224
2014-02-01,467.8397,2038.493,80.45,145.5,90.218
2014-03-01,482.0104,2019.713,80.77,149.9,93.55099
2014-04-01,697.9759,1938.36,81.14,164.4,91.51269
2014-05-01,525.4867,1915.361,81.53,149.9,96.40436
2014-06-01,622.4262,1887.039,81.61,138.5,94.41494
2014-07-01,646.3998,1857.644,81.73,157.7,95.04274
2014-08-01,425.4088,1898.125,81.9,147.8,97.98857
2014-09-01,577.2719,1973.717,82.01,159.5,99.60603
2014-10-01,482.4923,2048.567,82.14,156.2,103.0592
2014-11-01,408.4852,2128.684,82.25,150.4,104.6853
2014-12-01,422.4873,2342.254,82.47,150.6,107.1962
2015-01-01,565.5427,2397.258,83.0,131.5,93.41622
2015-02-01,456.4361,2420.673,83.96,145.9,92.50064
2015-03-01,434.0039,2585.362,84.45,151.9,96.45925
2015-04-01,423.3462,2505.248,84.9,162.2,94.71992
2015-05-01,534.1228,2437.535,85.12,147.7,99.88544
2015-06-01,424.3022,2562.478,85.21,145.4,98.30473
